char, level, race, charclass, zone, guild, timestamp
26235,70,Tauren,Shaman,Shattrath City,53,01/01/08 00:03:09
141,70,Tauren,Shaman,Feralas,19,01/01/08 00:03:09
30078,70,Tauren,Shaman,The Steamvault,5,01/01/08 00:03:09
46794,70,Tauren,Shaman,Arathi Basin,204,01/01/08 00:03:09
60179,70,Tauren,Shaman,Arathi Basin,53,01/01/08 00:03:09
39365,70,Tauren,Shaman,Ghostlands,35,01/01/08 00:03:09
4989,70,Tauren,Shaman,The Mechanar,5,01/01/08 00:03:09
16884,70,Tauren,Shaman,The Mechanar,103,01/01/08 00:03:09
19085,70,Tauren,Druid,The Arcatraz,103,01/01/08 00:03:15
91,70,Tauren,Druid,Tanaris,103,01/01/08 00:03:15
178,70,Tauren,Druid,Undercity,9,01/01/08 00:03:15
20521,70,Tauren,Druid,Undercity,9,01/01/08 00:03:15
2780,70,Tauren,Druid,Undercity,9,01/01/08 00:03:15
22350,70,Tauren,Druid,Warsong Gulch,104,01/01/08 00:03:15
42267,70,Tauren,Druid,Shattrath City,79,01/01/08 00:03:15
22653,70,Tauren,Druid,The Botanica,204,01/01/08 00:03:15
64923,70,Tauren,Druid,Feralas,103,01/01/08 00:03:15
59029,70,Tauren,Druid,The Steamvault,103,01/01/08 00:03:15
21885,70,Tauren,Druid,Silverpine Forest,101,01/01/08 00:03:15
27554,70,Tauren,Druid,Arathi Basin,235,01/01/08 00:03:15
182,1,Troll,Hunter,Durotar,-1,01/01/08 00:03:20
64875,28,Troll,Hunter,Ashenvale,-1,01/01/08 00:03:20
64650,28,Troll,Hunter,Stonetalon Mountains,251,01/01/08 00:03:20
65077,24,Troll,Hunter,Thunder Bluff,-1,01/01/08 00:03:20
10263,57,Troll,Rogue,Winterspring,79,01/01/08 00:03:25
22488,63,Troll,Hunter,Zangarmarsh,156,01/01/08 00:03:25
64580,54,Troll,Hunter,Thunder Bluff,282,01/01/08 00:03:25
47531,68,Troll,Rogue,Undercity,103,01/01/08 00:03:30
1484,69,Troll,Rogue,Western Plaguelands,161,01/01/08 00:03:30
417,70,Troll,Warrior,Orgrimmar,101,01/01/08 00:03:35
230,70,Troll,Warrior,Netherstorm,103,01/01/08 00:03:35
50401,70,Troll,Hunter,Orgrimmar,103,01/01/08 00:03:40
46502,70,Troll,Hunter,Undercity,161,01/01/08 00:03:40
46755,70,Troll,Hunter,Warsong Gulch,167,01/01/08 00:03:40
29710,70,Troll,Hunter,Warsong Gulch,79,01/01/08 00:03:40
22167,70,Troll,Hunter,Shattrath City,103,01/01/08 00:03:40
22155,70,Troll,Hunter,Shattrath City,104,01/01/08 00:03:40
22368,70,Troll,Hunter,Terokkar Forest,103,01/01/08 00:03:40
24854,70,Troll,Hunter,Felwood,-1,01/01/08 00:03:40
16384,70,Troll,Hunter,Zangarmarsh,53,01/01/08 00:03:40
26278,70,Troll,Hunter,Silverpine Forest,-1,01/01/08 00:03:40
22246,70,Troll,Hunter,Arathi Basin,243,01/01/08 00:03:40
28651,70,Troll,Rogue,Orgrimmar,53,01/01/08 00:03:45
30974,70,Troll,Rogue,Zangarmarsh,103,01/01/08 00:03:45
18610,70,Troll,Shaman,Shattrath City,5,01/01/08 00:03:50
22666,70,Troll,Shaman,Terokkar Forest,5,01/01/08 00:03:50
1386,70,Troll,Shaman,Nagrand,5,01/01/08 00:03:50
21810,70,Troll,Shaman,Western Plaguelands,-1,01/01/08 00:03:50
663,70,Troll,Shaman,The Mechanar,5,01/01/08 00:03:50
18473,70,Troll,Priest,Shattrath City,79,01/01/08 00:03:55
246,70,Troll,Priest,Shattrath City,19,01/01/08 00:03:55
27659,70,Troll,Priest,Eye of the Storm,174,01/01/08 00:03:55
22021,70,Troll,Priest,Terokkar Forest,103,01/01/08 00:03:55
21957,70,Troll,Priest,Netherstorm,103,01/01/08 00:03:55
22934,70,Troll,Mage,Blade's Edge Mountains,282,01/01/08 00:04:00
7087,70,Troll,Mage,Orgrimmar,204,01/01/08 00:04:00
25335,70,Troll,Mage,Alterac Valley,243,01/01/08 00:04:00
18898,70,Troll,Mage,Shattrath City,5,01/01/08 00:04:00
64784,70,Troll,Mage,Shattrath City,104,01/01/08 00:04:00
25748,70,Troll,Mage,The Botanica,259,01/01/08 00:04:00
19666,70,Troll,Mage,The Botanica,35,01/01/08 00:04:00
27081,70,Troll,Mage,Terokkar Forest,243,01/01/08 00:04:00
46188,70,Troll,Mage,The Underbog,35,01/01/08 00:04:00
62348,70,Troll,Mage,The Shattered Halls,103,01/01/08 00:04:00
64823,32,Undead,Rogue,Hillsbrad Foothills,-1,01/01/08 00:04:06
62410,15,Undead,Priest,Undercity,-1,01/01/08 00:04:06
25511,17,Undead,Rogue,Undercity,101,01/01/08 00:04:06
64031,48,Undead,Warrior,Swamp of Sorrows,-1,01/01/08 00:04:06
65389,6,Undead,Warrior,Tirisfal Glades,-1,01/01/08 00:04:06
65548,7,Undead,Rogue,Tirisfal Glades,282,01/01/08 00:04:06
26983,50,Undead,Warrior,Tirisfal Glades,253,01/01/08 00:04:06
64609,43,Undead,Warrior,Stranglethorn Vale,108,01/01/08 00:04:06
22311,46,Undead,Mage,Badlands,282,01/01/08 00:04:06
2240,49,Undead,Mage,Feralas,171,01/01/08 00:04:06
64904,23,Undead,Warlock,The Barrens,282,01/01/08 00:04:06
60628,48,Undead,Warlock,The Hinterlands,167,01/01/08 00:04:06
64604,18,Undead,Warlock,Silverpine Forest,273,01/01/08 00:04:06
22576,61,Undead,Warrior,Hellfire Peninsula,35,01/01/08 00:04:11
13980,61,Undead,Warrior,Hellfire Peninsula,35,01/01/08 00:04:11
61409,61,Undead,Warlock,Hellfire Peninsula,35,01/01/08 00:04:11
62987,63,Undead,Warrior,Hellfire Peninsula,282,01/01/08 00:04:11
60870,52,Undead,Rogue,Un'Goro Crater,9,01/01/08 00:04:11
32818,60,Undead,Mage,Undercity,167,01/01/08 00:04:11
58800,58,Undead,Warrior,Swamp of Sorrows,167,01/01/08 00:04:11
60525,53,Undead,Rogue,Tirisfal Glades,53,01/01/08 00:04:11
34666,62,Undead,Warlock,Shattrath City,243,01/01/08 00:04:11
33170,52,Undead,Priest,Felwood,282,01/01/08 00:04:11
30072,62,Undead,Mage,Zangarmarsh,167,01/01/08 00:04:11
2035,66,Undead,Priest,Blade's Edge Mountains,9,01/01/08 00:04:16
21046,65,Undead,Warlock,Terokkar Forest,-1,01/01/08 00:04:16
45422,66,Undead,Rogue,Nagrand,216,01/01/08 00:04:16
63804,65,Undead,Mage,Blackfathom Deeps,273,01/01/08 00:04:16
62591,68,Undead,Mage,Shadowmoon Valley,174,01/01/08 00:04:21
11087,68,Undead,Warlock,Terokkar Forest,-1,01/01/08 00:04:21
21752,67,Undead,Mage,Nagrand,205,01/01/08 00:04:21
21976,68,Undead,Warlock,Nagrand,103,01/01/08 00:04:21
61883,69,Undead,Rogue,Arathi Basin,291,01/01/08 00:04:21
4141,70,Undead,Mage,Blade's Edge Mountains,35,01/01/08 00:04:26
460,70,Undead,Mage,Blade's Edge Mountains,-1,01/01/08 00:04:26
24707,70,Undead,Mage,Orgrimmar,174,01/01/08 00:04:26
31647,70,Undead,Mage,Undercity,103,01/01/08 00:04:26
55614,70,Undead,Mage,Undercity,101,01/01/08 00:04:26
30452,70,Undead,Mage,Undercity,167,01/01/08 00:04:26
22039,70,Undead,Mage,Shadowmoon Valley,103,01/01/08 00:04:26
18863,70,Undead,Mage,Shadowmoon Valley,53,01/01/08 00:04:26
22171,70,Undead,Mage,Warsong Gulch,243,01/01/08 00:04:26
22737,70,Undead,Mage,Tirisfal Glades,103,01/01/08 00:04:26
345,70,Undead,Mage,Shattrath City,9,01/01/08 00:04:26
17738,70,Undead,Mage,Shattrath City,79,01/01/08 00:04:26
650,70,Undead,Mage,Shattrath City,62,01/01/08 00:04:26
24674,70,Undead,Mage,Eye of the Storm,101,01/01/08 00:04:26
22454,70,Undead,Mage,Terokkar Forest,204,01/01/08 00:04:26
54869,70,Undead,Mage,The Underbog,35,01/01/08 00:04:26
19449,70,Undead,Mage,The Shattered Halls,167,01/01/08 00:04:26
22249,70,Undead,Mage,Nagrand Arena,204,01/01/08 00:04:26
22321,70,Undead,Mage,The Steamvault,282,01/01/08 00:04:26
354,70,Undead,Mage,Netherstorm,5,01/01/08 00:04:26
10543,70,Undead,Mage,Netherstorm,9,01/01/08 00:04:26
22453,70,Undead,Mage,Netherstorm,103,01/01/08 00:04:26
7842,70,Undead,Mage,Netherstorm,62,01/01/08 00:04:26
52497,70,Undead,Mage,Arathi Basin,204,01/01/08 00:04:26
9695,70,Undead,Priest,Blade's Edge Mountains,204,01/01/08 00:04:31
941,70,Undead,Priest,Sethekk Halls,19,01/01/08 00:04:31
24390,70,Undead,Priest,Auchenai Crypts,174,01/01/08 00:04:31
29058,70,Undead,Priest,Orgrimmar,53,01/01/08 00:04:31
45457,70,Undead,Priest,Orgrimmar,103,01/01/08 00:04:31
23145,70,Undead,Priest,Orgrimmar,174,01/01/08 00:04:31
22176,70,Undead,Priest,Orgrimmar,101,01/01/08 00:04:31
13816,70,Undead,Priest,Warsong Gulch,99,01/01/08 00:04:31
13619,70,Undead,Priest,Tirisfal Glades,281,01/01/08 00:04:31
26610,70,Undead,Priest,Shattrath City,204,01/01/08 00:04:31
2166,70,Undead,Priest,Shattrath City,62,01/01/08 00:04:31
19566,70,Undead,Priest,Shattrath City,5,01/01/08 00:04:31
57316,70,Undead,Priest,Shattrath City,35,01/01/08 00:04:31
12386,70,Undead,Priest,Shattrath City,167,01/01/08 00:04:31
303,70,Undead,Priest,Shattrath City,103,01/01/08 00:04:31
23482,70,Undead,Priest,Terokkar Forest,53,01/01/08 00:04:31
25140,70,Undead,Priest,The Shattered Halls,103,01/01/08 00:04:31
27711,70,Undead,Priest,Stranglethorn Vale,103,01/01/08 00:04:31
12930,70,Undead,Priest,Arathi Basin,-1,01/01/08 00:04:31
58987,70,Undead,Rogue,Blade's Edge Mountains,161,01/01/08 00:04:36
11705,70,Undead,Rogue,Sethekk Halls,19,01/01/08 00:04:36
52427,70,Undead,Rogue,Orgrimmar,104,01/01/08 00:04:36
1774,70,Undead,Rogue,Alterac Valley,5,01/01/08 00:04:36
22519,70,Undead,Rogue,Undercity,101,01/01/08 00:04:36
21950,70,Undead,Rogue,Undercity,174,01/01/08 00:04:36
22609,70,Undead,Rogue,Tirisfal Glades,216,01/01/08 00:04:36
28695,70,Undead,Rogue,Tirisfal Glades,103,01/01/08 00:04:36
61755,70,Undead,Rogue,Tirisfal Glades,282,01/01/08 00:04:36
10043,70,Undead,Rogue,Tirisfal Glades,79,01/01/08 00:04:36
22662,70,Undead,Rogue,Tirisfal Glades,101,01/01/08 00:04:36
323,70,Undead,Rogue,Shattrath City,9,01/01/08 00:04:36
1094,70,Undead,Rogue,Eye of the Storm,103,01/01/08 00:04:36
22444,70,Undead,Rogue,Eye of the Storm,204,01/01/08 00:04:36
63302,70,Undead,Rogue,Mana-Tombs,161,01/01/08 00:04:36
23291,70,Undead,Rogue,Nagrand Arena,103,01/01/08 00:04:36
22456,70,Undead,Warlock,The Arcatraz,103,01/01/08 00:04:41
47077,70,Undead,Warlock,Orgrimmar,204,01/01/08 00:04:41
722,70,Undead,Warlock,Undercity,62,01/01/08 00:04:41
22410,70,Undead,Warlock,Undercity,101,01/01/08 00:04:41
782,70,Undead,Warlock,Undercity,9,01/01/08 00:04:41
1055,70,Undead,Warlock,Tirisfal Glades,5,01/01/08 00:04:41
18827,70,Undead,Warlock,Shattrath City,189,01/01/08 00:04:41
32357,70,Undead,Warlock,Shattrath City,103,01/01/08 00:04:41
18065,70,Undead,Warlock,Shattrath City,103,01/01/08 00:04:41
9084,70,Undead,Warlock,Eye of the Storm,205,01/01/08 00:04:41
16597,70,Undead,Warlock,The Underbog,103,01/01/08 00:04:41
21905,70,Undead,Warlock,Nagrand,167,01/01/08 00:04:41
11706,70,Undead,Warlock,Netherstorm,101,01/01/08 00:04:41
51246,70,Undead,Warlock,Zangarmarsh,5,01/01/08 00:04:41
17528,70,Undead,Warlock,Arathi Basin,-1,01/01/08 00:04:41
27288,70,Undead,Warlock,Arathi Basin,228,01/01/08 00:04:41
394,70,Undead,Warlock,Arathi Basin,35,01/01/08 00:04:41
33016,70,Undead,Warlock,Arathi Basin,204,01/01/08 00:04:41
23060,70,Undead,Warlock,The Mechanar,216,01/01/08 00:04:41
9194,70,Undead,Warlock,The Mechanar,103,01/01/08 00:04:41
12166,70,Undead,Warrior,Blade's Edge Mountains,-1,01/01/08 00:04:46
22069,70,Undead,Warrior,Tirisfal Glades,103,01/01/08 00:04:46
29999,70,Undead,Warrior,Tirisfal Glades,165,01/01/08 00:04:46
23248,70,Undead,Warrior,Shattrath City,243,01/01/08 00:04:46
41829,70,Undead,Warrior,The Botanica,104,01/01/08 00:04:46
24723,70,Undead,Warrior,Searing Gorge,103,01/01/08 00:04:46
24158,70,Undead,Warrior,The Shattered Halls,103,01/01/08 00:04:46
16797,70,Undead,Warrior,Mulgore,204,01/01/08 00:04:46
973,70,Undead,Warrior,Arathi Basin,167,01/01/08 00:04:46
65550,4,Blood Elf,Rogue,Eversong Woods,-1,01/01/08 00:04:51
65469,7,Blood Elf,Paladin,Eversong Woods,-1,01/01/08 00:04:51
41252,11,Blood Elf,Paladin,Eversong Woods,103,01/01/08 00:04:57
65409,11,Blood Elf,Paladin,Eversong Woods,-1,01/01/08 00:04:57
65403,11,Blood Elf,Paladin,Eversong Woods,-1,01/01/08 00:04:57
46138,11,Blood Elf,Warlock,Eversong Woods,-1,01/01/08 00:04:57
65013,17,Blood Elf,Warlock,The Barrens,-1,01/01/08 00:04:57
65477,15,Blood Elf,Paladin,Ghostlands,-1,01/01/08 00:04:57
41436,17,Blood Elf,Paladin,Ghostlands,282,01/01/08 00:04:57
48234,20,Blood Elf,Warlock,Ghostlands,-1,01/01/08 00:04:57
45704,28,Blood Elf,Hunter,Warsong Gulch,-1,01/01/08 00:05:02
64310,25,Blood Elf,Priest,Ashenvale,-1,01/01/08 00:05:02
63273,30,Blood Elf,Priest,Ashenvale,282,01/01/08 00:05:02
64975,26,Blood Elf,Mage,Stonetalon Mountains,-1,01/01/08 00:05:02
64950,26,Blood Elf,Priest,Stonetalon Mountains,-1,01/01/08 00:05:02
64632,28,Blood Elf,Paladin,Stranglethorn Vale,282,01/01/08 00:05:02
65217,21,Blood Elf,Hunter,The Barrens,282,01/01/08 00:05:02
65322,22,Blood Elf,Rogue,The Barrens,-1,01/01/08 00:05:02
65230,23,Blood Elf,Hunter,The Barrens,-1,01/01/08 00:05:02
39253,25,Blood Elf,Rogue,The Barrens,-1,01/01/08 00:05:02
63081,22,Blood Elf,Rogue,Silvermoon City,282,01/01/08 00:05:02
52499,22,Blood Elf,Paladin,Silverpine Forest,167,01/01/08 00:05:02
62585,23,Blood Elf,Paladin,Silverpine Forest,282,01/01/08 00:05:02
63133,24,Blood Elf,Hunter,Silverpine Forest,-1,01/01/08 00:05:02
64497,26,Blood Elf,Hunter,Silverpine Forest,167,01/01/08 00:05:02
36245,29,Blood Elf,Warlock,Silverpine Forest,167,01/01/08 00:05:02
47637,21,Blood Elf,Mage,Ghostlands,-1,01/01/08 00:05:02
65420,21,Blood Elf,Paladin,Ghostlands,-1,01/01/08 00:05:02
36553,23,Blood Elf,Mage,Ghostlands,282,01/01/08 00:05:02
64475,27,Blood Elf,Paladin,Blackfathom Deeps,273,01/01/08 00:05:02
47116,33,Blood Elf,Mage,Orgrimmar,-1,01/01/08 00:05:07
36407,31,Blood Elf,Hunter,Ashenvale,-1,01/01/08 00:05:07
62995,39,Blood Elf,Hunter,Elwynn Forest,293,01/01/08 00:05:07
64656,34,Blood Elf,Paladin,Stranglethorn Vale,282,01/01/08 00:05:07
44387,35,Blood Elf,Paladin,Stranglethorn Vale,289,01/01/08 00:05:07
63533,38,Blood Elf,Mage,Stranglethorn Vale,220,01/01/08 00:05:07
55762,40,Blood Elf,Paladin,Stranglethorn Vale,167,01/01/08 00:05:07
36200,34,Blood Elf,Warlock,Arathi Basin,-1,01/01/08 00:05:07
37036,36,Blood Elf,Priest,Arathi Highlands,282,01/01/08 00:05:07
63311,42,Blood Elf,Paladin,Dustwallow Marsh,256,01/01/08 00:05:12
37059,41,Blood Elf,Warlock,Tirisfal Glades,186,01/01/08 00:05:12
32985,41,Blood Elf,Paladin,Stranglethorn Vale,108,01/01/08 00:05:12
64380,42,Blood Elf,Warlock,Stranglethorn Vale,-1,01/01/08 00:05:12
52818,44,Blood Elf,Mage,Stranglethorn Vale,-1,01/01/08 00:05:12
64397,43,Blood Elf,Hunter,Feralas,-1,01/01/08 00:05:12
61942,44,Blood Elf,Priest,Feralas,-1,01/01/08 00:05:12
53785,50,Blood Elf,Priest,Tanaris,-1,01/01/08 00:05:17
48417,49,Blood Elf,Paladin,Zul'Farrak,-1,01/01/08 00:05:17
63646,49,Blood Elf,Mage,Stranglethorn Vale,220,01/01/08 00:05:17
47108,49,Blood Elf,Paladin,Feralas,161,01/01/08 00:05:17
37084,51,Blood Elf,Paladin,Thousand Needles,282,01/01/08 00:05:22
61663,51,Blood Elf,Rogue,Un'Goro Crater,282,01/01/08 00:05:22
40453,54,Blood Elf,Paladin,Feralas,256,01/01/08 00:05:22
54918,55,Blood Elf,Paladin,Western Plaguelands,-1,01/01/08 00:05:22
56579,51,Blood Elf,Paladin,The Hinterlands,243,01/01/08 00:05:22
63729,56,Blood Elf,Mage,Winterspring,79,01/01/08 00:05:27
61773,56,Blood Elf,Warlock,Thousand Needles,269,01/01/08 00:05:27
50524,60,Blood Elf,Hunter,Hellfire Peninsula,282,01/01/08 00:05:27
59629,60,Blood Elf,Rogue,Hellfire Peninsula,-1,01/01/08 00:05:27
62999,59,Blood Elf,Rogue,Un'Goro Crater,101,01/01/08 00:05:27
60674,59,Blood Elf,Rogue,Silithus,-1,01/01/08 00:05:27
62829,58,Blood Elf,Mage,Undercity,282,01/01/08 00:05:27
55932,58,Blood Elf,Mage,Undercity,251,01/01/08 00:05:27
34870,58,Blood Elf,Paladin,Eastern Plaguelands,282,01/01/08 00:05:27
38500,59,Blood Elf,Paladin,Eastern Plaguelands,282,01/01/08 00:05:27
60100,56,Blood Elf,Paladin,Azshara,161,01/01/08 00:05:27
57744,56,Blood Elf,Hunter,The Barrens,-1,01/01/08 00:05:27
64095,59,Blood Elf,Warlock,Thunder Bluff,288,01/01/08 00:05:27
63401,61,Blood Elf,Hunter,Hellfire Peninsula,220,01/01/08 00:05:32
35263,65,Blood Elf,Mage,Hellfire Peninsula,53,01/01/08 00:05:32
41802,64,Blood Elf,Rogue,Auchenai Crypts,103,01/01/08 00:05:32
58974,64,Blood Elf,Paladin,Shattrath City,-1,01/01/08 00:05:32
41728,65,Blood Elf,Mage,Shattrath City,19,01/01/08 00:05:32
64813,63,Blood Elf,Priest,Terokkar Forest,-1,01/01/08 00:05:32
34319,65,Blood Elf,Paladin,Terokkar Forest,165,01/01/08 00:05:32
35268,64,Blood Elf,Paladin,Nagrand,103,01/01/08 00:05:32
63753,65,Blood Elf,Hunter,Nagrand,282,01/01/08 00:05:32
26137,63,Blood Elf,Rogue,Zangarmarsh,167,01/01/08 00:05:32
35580,63,Blood Elf,Warlock,Zangarmarsh,189,01/01/08 00:05:32
61105,64,Blood Elf,Priest,Zangarmarsh,165,01/01/08 00:05:32
61769,64,Blood Elf,Hunter,Zangarmarsh,167,01/01/08 00:05:32
35336,67,Blood Elf,Paladin,Undercity,19,01/01/08 00:05:37
47880,66,Blood Elf,Hunter,Nagrand,53,01/01/08 00:05:37
41661,67,Blood Elf,Warlock,Nagrand,53,01/01/08 00:05:37
38495,67,Blood Elf,Paladin,Netherstorm,62,01/01/08 00:05:37
57770,67,Blood Elf,Warlock,Arathi Basin,165,01/01/08 00:05:37
54534,68,Blood Elf,Priest,Dustwallow Marsh,-1,01/01/08 00:05:43
35336,67,Blood Elf,Paladin,Undercity,19,01/01/08 00:05:43
47880,66,Blood Elf,Hunter,Nagrand,53,01/01/08 00:05:43
41661,67,Blood Elf,Warlock,Nagrand,53,01/01/08 00:05:43
38495,67,Blood Elf,Paladin,Netherstorm,62,01/01/08 00:05:43
58813,68,Blood Elf,Hunter,Silvermoon City,165,01/01/08 00:05:43
